tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2006,173666,0.599,0.946,8,-4.192,1,0.0378,0.000669,0.0,0.0973,0.653,108.934,4
"rock, pop, classic_rock, 70s",Rock,1977,218400,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,4
"rock, electronic, alternative, indie, female_vocalists, indie_rock, dance, 00s",Rock,2009,222440,0.563,0.903,8,-4.458,0,0.0293,0.000178,0.123,0.302,0.766,132.022,4
"rock, electronic, alternative, indie, pop, indie_rock, british, indie_pop, britpop",Rock,2010,164200,0.647,0.83,0,-5.025,1,0.0342,0.00522,0.000852,0.17,0.73,119.91,4
"rock, electronic, alternative, indie, indie_rock, psychedelic, indie_pop",Reggae,2008,228013,0.485,0.799,5,-5.886,1,0.029,0.122,0.0054,0.33,0.468,111.012,3
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, britpop",Reggae,1996,230626,0.185,0.889,9,-5.491,0,0.0743,0.00267,0.0981,0.291,0.331,77.555,4
"rock, classic_rock, singer_songwriter, 70s",Jazz,2010,253293,0.543,0.272,0,-19.497,1,0.106,0.711,0.000467,0.102,0.382,104.792,4
"rock, alternative, metal, alternative_rock, hard_rock, 90s",Rock,1999,206200,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,4
"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, 00s, britpop, mellow",Rock,2009,249666,0.195,0.669,1,-10.457,1,0.0601,0.00804,0.788,0.238,0.428,173.12,4
"rock, electronic, alternative, indie, pop, alternative_rock, british, hip_hop, trip_hop",Rock,2005,225773,0.838,0.475,4,-5.505,0,0.036,0.000417,0.714,0.226,0.711,106.217,4
"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, beautiful, 00s, mellow",Rock,2000,356333,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,4
"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge",Country,1993,201173,0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539,4
"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Electronic,1973,470266,0.351,0.31,2,-13.922,1,0.0308,0.701,0.0526,0.842,0.122,72.786,4
"rock, classic_rock, progressive_rock, british, psychedelic, 70s, psychedelic_rock",Rap,2011,280706,0.589,0.29,0,-15.021,1,0.0293,0.271,0.00448,0.139,0.183,112.434,4
"rock, alternative, indie, alternative_rock, progressive_rock, british",Rock,2001,365480,0.316,0.918,4,-7.333,1,0.0932,0.00354,0.14,0.112,0.148,152.007,4
"rock, classic_rock, hard_rock, british, 60s",Metal,1984,205493,0.24,0.841,2,-12.137,1,0.0802,0.027,0.0594,0.502,0.554,99.8,4
"rock, alternative, indie, alternative_rock, indie_rock, 00s, blues_rock",Rock,2007,254533,0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,4
